1,name_1,mail_1,tokyo,1
2,name_2,mail_2,tokyo,2
3,name_3,mail_3,tokyo,3
4,name_4,mail_4,tokyo,1
5,name_5,mail_5,tokyo,2
6,name_6,mail_6,osaka,4
7,name_7,mail_7,tokyo,3
8,name_8,mail_8,tokyo,1
9,name_9,mail_9,tokyo,2
10,name_10,mail_10,tokyo,1
11,name_11,mail_11,tokyo,1
12,name_12,mail_12,tokyo,3
13,name_13,mail_13,tokyo,1
14,name_14,mail_14,tokyo,3
15,name_15,mail_15,osaka,4
16,name_16,mail_16,tokyo,2
17,name_17,mail_17,tokyo,1
18,name_18,mail_18,osaka,3
19,name_19,mail_19,tokyo,1
20,name_20,mail_20,tokyo,4
21,name_21,mail_21,tokyo,2
22,name_22,mail_22,tokyo,1
23,name_23,mail_23,tokyo,2
24,name_24,mail_24,osaka,2
25,name_25,mail_25,tokyo,1
26,name_26,mail_26,tokyo,1
27,name_27,mail_27,tokyo,3
28,name_28,mail_28,tokyo,1
29,name_29,mail_29,tokyo,4
30,name_30,mail_30,osaka,1
31,name_31,mail_31,tokyo,1
32,name_32,mail_32,tokyo,1
33,name_33,mail_33,tokyo,2
34,name_34,mail_34,tokyo,1
35,name_35,mail_35,tokyo,4
36,name_36,mail_36,tokyo,3
37,name_37,mail_37,tokyo,2
38,name_38,mail_38,tokyo,1
39,name_39,mail_39,tokyo,1
40,name_40,mail_40,tokyo,3
41,name_41,mail_41,tokyo,1
42,name_42,mail_42,tokyo,1
43,name_43,mail_43,tokyo,1
44,name_44,mail_44,tokyo,4
45,name_45,mail_45,tokyo,1
46,name_46,mail_46,tokyo,4
47,name_47,mail_47,tokyo,1
48,name_48,mail_48,tokyo,1
49,name_49,mail_49,tokyo,1
50,name_50,mail_50,tokyo,3
51,name_51,mail_51,tokyo,1
52,name_52,mail_52,tokyo,4
53,name_53,mail_53,osaka,3
54,name_54,mail_54,tokyo,1
55,name_55,mail_55,tokyo,1
56,name_56,mail_56,tokyo,1
57,name_57,mail_57,tokyo,2
58,name_58,mail_58,tokyo,1
59,name_59,mail_59,tokyo,4
60,name_60,mail_60,tokyo,2
61,name_61,mail_61,tokyo,1
62,name_62,mail_62,tokyo,3
63,name_63,mail_63,tokyo,1
64,name_64,mail_64,tokyo,4
65,name_65,mail_65,tokyo,1
66,name_66,mail_66,tokyo,1
67,name_67,mail_67,tokyo,4
68,name_68,mail_68,osaka,3
69,name_69,mail_69,osaka,1
70,name_70,mail_70,tokyo,3
71,name_71,mail_71,tokyo,1
72,name_72,mail_72,tokyo,1
73,name_73,mail_73,tokyo,4
74,name_74,mail_74,tokyo,1
75,name_75,mail_75,tokyo,1
76,name_76,mail_76,tokyo,2
77,name_77,mail_77,tokyo,2
78,name_78,mail_78,tokyo,1
79,name_79,mail_79,tokyo,4
80,name_80,mail_80,tokyo,1
81,name_81,mail_81,tokyo,1
82,name_82,mail_82,tokyo,3
83,name_83,mail_83,tokyo,1
84,name_84,mail_84,tokyo,1
85,name_85,mail_85,tokyo,3
86,name_86,mail_86,tokyo,1
87,name_87,mail_87,tokyo,1
88,name_88,mail_88,osaka,1
89,name_89,mail_89,tokyo,1
90,name_90,mail_90,tokyo,4
91,name_91,mail_91,tokyo,2
92,name_92,mail_92,tokyo,4
93,name_93,mail_93,tokyo,1
94,name_94,mail_94,tokyo,1
95,name_95,mail_95,tokyo,3
96,name_96,mail_96,tokyo,1
97,name_97,mail_97,osaka,2
98,name_98,mail_98,tokyo,1
99,name_99,mail_99,tokyo,4
